Name,CPU,CPU_Type ,CPU_GEN ,GPU ,"GPU_Type(builtin_0,separate_1)",GPU_Capacity ,Screen_Size,Screen_Resolution ,"RAM(DDR3,DDr4,DDR5) ",RAM_Capacity ,Hard 1,Hard 2,"Hard_Type (HDD,SSD,M.2)",Body_Type,Body_Status,Price
HP,i 3,G,10,intel UHDGraphics,0,2 GB,15.6,FHD,DDR4,8 GB,128 GB,0 GB,M.2,Plastic,Very good,310
DELL,i 5,U,5,NVIDIA 920M,1,3 GB,15.6,HD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Not bad ,285
ACER,i 7,HQ,7,GTX 1080,1,8 GB,15.6,FHD,DDR4,32 GB,256 GB,256 GB,SSD,Aluminum,Good,760
ASUS,i 7,U,8,MX 150,1,4 GB,15.6,FHD,DDR4,8 GB,1024 GB,0 GB,HDD,Aluminum,Good,425
HP,i 9,H,10,RTX 2060,1,6 GB,15.6,FHD,DDR4,32 GB,1024 GB,0 GB,M.2,Aluminum,Very good,1250
LENOVO,i 5,U,7,NVIDIA 940MX,1,6 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Good,350
HP,i 5,U,7,AMD R5,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Very good,370
ASUS,i 7,H,12,RTX 3060,1,6 GB,15.6,FHD,DDR5,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,1200
ASUS,RYZEN 7,U,10,MX 350,1,4 GB,15.6,FHD,DDR5,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,850
HP,i 7,U,6,AMD R7,1,4 GB,15.6,FHD,DDR4,8 GB,128 GB,0 GB,M.2,Plastic,Good,410
DELL,i 5,HQ,7,GTX 1050,1,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,540
HP,i 7,H,10,RTX 3060,1,6 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Plastic,Very good,1000
HP,i 5,U,7,intel HDGraphics,0,2 GB,13.3,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,465
HP,i 5,U,8,intel HDGraphics,0,2 GB,14.0,FHD,DDR4,4 GB,128 GB,0 GB,SSD,Aluminum,Very good,450
HP,i 3,G,10,intel UHDGraphics,0,2 GB,15.6,FHD,DDR4,4 GB,128 GB,0 GB,M.2,Plastic,Very good,290
ASUS,i 5,U,5,NVIDIA 940MX,1,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Not bad ,340
HP,i 5,U,7,intel UHDGraphics,0,2 GB,12.0,FHD,DDR4,8 GB,128 GB,0 GB,SSD,Plastic,Very good,295
ACER,i 5,U,8,intel UHDGraphics,0,2 GB,14.0,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Very good,490
ASUS,RYZEN 5,U,9,MX 350,1,2 GB,14.0,FHD,DDR5,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,650
ACER,RYZEN 5,U,8,RX 560,1,4 GB,15.6,FHD,DDR4,16 GB,128 GB,1024 GB,M.2,Aluminum,Very good,590
ACER,i 7,U,8,intel UHDGraphics,0,4 GB,13.3,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,550
ACER,i 7,H,8,GTX 1050,1,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,790
ASUS,i 7,H,10,RTX 2070,1,8 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Plastic,Very good,1490
ACER,i 7,U,8,intel UHDGraphics,0,4 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,650
HP,i 5,U,7,NVIDIA 930 MX,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,490
ASUS,i 7,U,8,MX 130,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Good,590
TOSHIBA,i 5,M,4,intel HDGraphics,0,2 GB,14.0,HD,DDR3,4 GB,500 GB,0 GB,HDD,Plastic,Not bad ,260
HP,i 7,H,10,RTX 2070,1,8 GB,17.3,FHD,DDR4,24 GB,512 GB,0 GB,M.2,Aluminum,Very good,1350
ASUS,i 7,U,7,NVIDIA 940MX,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,560
ACER,i 7,H,9,RTX 2080,1,8 GB,15.6,FHD,DDR4,32 GB,1024 GB,0 GB,M.2,Plastic,Very good,1475
LENOVO,i 7,U,5,AMD RADEON R9,1,4 GB,14.0,FHD,DDR4,8 GB,128 GB,0 GB,M.2,Plastic,Not bad ,420
LENOVO,RYZEN 7,H,10,GTX 1050Ti,1,4 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Plastic,Very good,950
ASUS,i 5,U,8,MX 110,1,4 GB,15.6,FHD,DDR4,4 GB,128 GB,0 GB,M.2,Aluminum,Very good,435
LENOVO,i 5,U,8,intel UHDGraphics,0,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,470
HP,i 7,G,10,intel UHDGraphics,0,6 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,890
TOSHIBA,i 5,M,4,intel HDGraphics,0,2 GB,14.0,HD,DDR3,8 GB,256 GB,0 GB,SSD,Plastic,Not bad ,290
HP,i 7,H,9,GTX 1650,1,4 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,910
HP,RYZEN 5,U,9,RX Vega 8,1,6 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Aluminum,Very good,730
LENOVO,RYZEN 5,U,7,RX Vega 8,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Good,450
LENOVO,i 5,U,8,intel UHDGraphics,0,4 GB,14.0,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Good,450
ACER,i 7,H,9,RTX 2080,1,8 GB,15.6,FHD,DDR5,32 GB,1024 GB,0 GB,M.2,Aluminum,Very good,1299
MSI,i 5,H,10,GTX 1650,1,4 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Plastic,Very good,825
ASUS,i 7,U,7,NVIDIA 940MX,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Very good,520
HP,i 5,U,8,intel UHDGraphics,0,4 GB,15.6,HD,DDR4,8 GB,256 GB,512 GB,M.2,Aluminum,Very good,455
